lon,lat
-124.4383,43.07974
-124.4352,43.07949
-124.435,43.08026
-124.435,43.08084
-124.4346,43.08105
-124.434,43.08126
-124.4338,43.08175
-124.4342,43.08172
-124.4347,43.08207
-124.4347,43.08286
-124.4351,43.08389
-124.4351,43.08452
-124.4351,43.08537
-124.4342,43.08867
-124.4373,43.08901
-124.4383,43.07974
